PO_NUMBER,STATUS,SUPPLIER,ATTACHMENTS_FOUND,ATTACHMENTS_DOWNLOADED,LAST_PROCESSED,ERROR_MESSAGE,DOWNLOAD_FOLDER,COUPA_URL
PO16173015,PENDING,,0,0,,,,
PO16174239,PENDING,,0,0,,,,
PO16180307,PENDING,,0,0,,,,
PO16192707,PENDING,,0,0,,,,
PO16196048,PENDING,,0,0,,,,
PO16198222,PENDING,,0,0,,,,
PO16198898,PENDING,,0,0,,,,
PO16201559,PENDING,,0,0,,,,
PO16201958,PENDING,,0,0,,,,
PO16203366,PENDING,,0,0,,,,
PO16203367,PENDING,,0,0,,,,
PO16203369,PENDING,,0,0,,,,
PO16210799,PENDING,,0,0,,,,
PO16211016,PENDING,,0,0,,,,
PO16215916,PENDING,,0,0,,,,
PO16219761,PENDING,,0,0,,,,
PO16220188,PENDING,,0,0,,,,
PO16221223,PENDING,,0,0,,,,
PO16222196,PENDING,,0,0,,,,
PO16222200,PENDING,,0,0,,,,
PO16224336,PENDING,,0,0,,,,
PO16226764,PENDING,,0,0,,,,
PO16228358,PENDING,,0,0,,,,
PO16228360,PENDING,,0,0,,,,
PO16232341,PENDING,,0,0,,,,
PO16233995,PENDING,,0,0,,,,
PO16234040,PENDING,,0,0,,,,
PO16235170,PENDING,,0,0,,,,
PO16237500,PENDING,,0,0,,,,
PO16239374,PENDING,,0,0,,,,
PO16239686,PENDING,,0,0,,,,
PO16240302,PENDING,,0,0,,,,
PO16240691,PENDING,,0,0,,,,
PO16241338,PENDING,,0,0,,,,
PO16242475,PENDING,,0,0,,,,
PO16242605,PENDING,,0,0,,,,
PO16242651,PENDING,,0,0,,,,
PO16243188,PENDING,,0,0,,,,
PO16245358,PENDING,,0,0,,,,
PO16245367,PENDING,,0,0,,,,
PO16245570,PENDING,,0,0,,,,
PO16245573,PENDING,,0,0,,,,
PO16245869,PENDING,,0,0,,,,
PO16247799,PENDING,,0,0,,,,
PO16248843,PENDING,,0,0,,,,
PO16250384,PENDING,,0,0,,,,
PO16252114,PENDING,,0,0,,,,
PO16252275,PENDING,,0,0,,,,
PO16252568,PENDING,,0,0,,,,
PO16252573,PENDING,,0,0,,,,
PO16253702,PENDING,,0,0,,,,
PO16253703,PENDING,,0,0,,,,
PO16253756,PENDING,,0,0,,,,
PO16253764,PENDING,,0,0,,,,
PO16254950,PENDING,,0,0,,,,
PO16256064,PENDING,,0,0,,,,
PO16257784,PENDING,,0,0,,,,
PO16257861,PENDING,,0,0,,,,
PO16258662,PENDING,,0,0,,,,
PO16261363,PENDING,,0,0,,,,
PO16264945,PENDING,,0,0,,,,
PO16266316,PENDING,,0,0,,,,
PO16266484,PENDING,,0,0,,,,
PO16270144,PENDING,,0,0,,,,
PO16270912,PENDING,,0,0,,,,
PO16271183,PENDING,,0,0,,,,
PO16271734,PENDING,,0,0,,,,
PO16272213,PENDING,,0,0,,,,
PO16276530,PENDING,,0,0,,,,
PO16277232,PENDING,,0,0,,,,
PO16277411,PENDING,,0,0,,,,
PO16286782,PENDING,,0,0,,,,
PO16288315,PENDING,,0,0,,,,
PO16288639,PENDING,,0,0,,,,
PO16291902,PENDING,,0,0,,,,
PO16291905,PENDING,,0,0,,,,
PO16293014,PENDING,,0,0,,,,
PO16293750,PENDING,,0,0,,,,
PO16297172,PENDING,,0,0,,,,
PO16299731,PENDING,,0,0,,,,
PO16310223,PENDING,,0,0,,,,
PO16311692,PENDING,,0,0,,,,
PO16314188,PENDING,,0,0,,,,
PO16314667,PENDING,,0,0,,,,
PO16321907,PENDING,,0,0,,,,
PO16322639,PENDING,,0,0,,,,
PO16323977,PENDING,,0,0,,,,
PO16323983,PENDING,,0,0,,,,
PO16325539,PENDING,,0,0,,,,
PO16326521,PENDING,,0,0,,,,
PO16330098,PENDING,,0,0,,,,
PO16330281,PENDING,,0,0,,,,
PO16333132,PENDING,,0,0,,,,
